hold_time_mean,hold_time_std,hold_time_median,flight_time_mean,flight_time_std,typing_speed_wpm,error_rate,pause_frequency,pause_duration_mean,burst_length_mean,rhythm_entropy,mouse_speed_mean,mouse_speed_std,direction_change_rate,click_count,rage_click_count,scroll_velocity_std,tab_switch_freq,switch_entropy,session_fragmentation,hour_of_day,day_of_week,session_duration_min,label,user_id,window_start,source_type,label_origin
104458.02638569816,1147387.6113846223,135.63597202301025,6364.26541430891,22882.420442899616,48.8,0.16393442622950818,26.0,28492.55218872657,4.518518518518518,3.005393783153596,132.76139606400645,56.49699847067545,10.0,260.0,17.0,345.0,78.0,0.0,0.0,11.0,4.0,30,0,kaggle_user1,2021-09-10T11:48:49.599397,real,self_report
104458.02638569816,1147387.6113846223,135.63597202301025,6364.26541430891,22882.420442899616,48.8,0.16393442622950818,26.0,28492.55218872657,4.518518518518518,3.005393783153596,133.34704237406984,55.26335873208676,10.0,262.0,17.0,345.0,78.0,0.0,0.0,11.0,4.0,30,0,kaggle_user1,2021-09-10T11:50:18.375074,real,self_report
133.31132378508178,111.21416213913449,126.68108940124512,1756.572373941833,17720.568605177825,245.2,0.0734094616639478,25.0,37645.228033065796,23.576923076923077,2.332461106999766,113.45494255827344,61.65039643156685,5.0,370.0,94.0,753.0,32.0,0.0,0.0,12.0,4.0,30,1,kaggle_user1,2021-09-10T12:41:42.248174,real,self_report
6242.497186783033,87968.92306034098,130.65147399902344,3548.1250004167728,26037.163059417213,156.0,0.04358974358974359,29.0,44868.70031521238,13.0,2.3679476980448793,114.07475342383279,74.06826616653508,0.0,217.0,9.0,854.0,34.0,0.0,0.0,13.0,4.0,30,0,kaggle_user1,2021-09-10T13:12:00.550791,real,self_report
13707.748592064981,177965.75631453926,140.6240463256836,3436.8116193347505,17676.381829710175,144.4,0.04709141274238227,74.0,15618.392219414582,4.8133333333333335,3.391088595717161,166.29057059572386,76.82532657231155,0.0,490.0,35.0,845.0,43.0,0.0,0.0,13.0,4.0,30,2,kaggle_user1,2021-09-10T13:42:10.866776,real,self_report
4186.841222840518,80103.22875184765,128.65591049194336,3632.1024554983046,32600.521929186518,157.6,0.06852791878172589,32.0,42072.81023263931,11.93939393939394,2.484686012907317,81.26884820850272,47.23996538821001,0.0,131.0,3.0,927.0,14.0,0.0,0.0,14.0,4.0,30,2,kaggle_user1,2021-09-10T14:12:53.702518,real,self_report
31827.44698996072,270490.196779175,155.58350086212158,9651.944072207034,44393.40265691922,72.8,0.016483516483516484,43.0,39583.348751068115,4.136363636363637,3.2395465953247493,119.27919937650529,67.33285516746624,0.0,324.0,13.0,960.0,40.0,0.0,0.0,16.0,4.0,30,2,kaggle_user1,2021-09-10T16:05:29.427681,real,self_report
145.63209595887557,124.96678796411746,126.6624927520752,16999.577186919832,85169.90822901187,36.8,0.021739130434782608,11.0,138641.82528582486,7.666666666666667,2.7165080074057273,86.78514733531023,65.83563472278253,1.0,111.0,2.0,262.0,14.0,0.0,0.0,16.0,4.0,30,0,kaggle_user1,2021-09-10T16:40:55.128698,real,self_report
316.1883306975412,382.47259277542963,160.57085990905762,13406.460208892822,50461.924170104605,40.4,0.019801980198019802,33.0,40038.21602734653,2.9705882352941178,2.98043009387019,167.14011575413116,60.57261566264337,0.0,403.0,9.0,1125.0,80.0,0.0,0.0,18.0,4.0,30,0,kaggle_user1,2021-09-10T18:27:03.300121,real,self_report
121.10846383231026,30.299185305121892,126.17993354797363,3001.7838408981543,22330.887164955184,28.0,0.04285714285714286,3.0,64300.70193608602,17.5,2.0816258617639654,120.7937328098217,68.82837193635581,0.0,167.0,3.0,380.0,65.0,0.0,0.0,10.0,0.0,30,2,kaggle_user1,2021-09-13T10:51:29.227572,real,self_report
326.54997375276355,516.2934226462597,153.5879373550415,18032.72622403964,64474.845122490275,28.8,0.09722222222222222,24.0,52542.96187559763,2.88,3.63641574133381,120.652115516271,59.46966608382456,0.0,296.0,4.0,1554.0,68.0,0.0,0.0,11.0,0.0,30,1,kaggle_user1,2021-09-13T11:30:28.373148,real,self_report
15165.958286734189,183119.5839201821,144.61302757263184,9497.872472514768,53506.33757315047,68.0,0.13529411764705881,29.0,53963.858094708674,5.666666666666667,3.094226519375475,123.31707177521056,63.384404310102894,0.0,372.0,20.0,1103.0,46.0,0.0,0.0,12.0,0.0,30,0,kaggle_user1,2021-09-13T12:00:38.189376,real,self_report
7217.835289615017,75241.58017212218,153.58901023864746,11758.695951649841,51696.24363686735,57.2,0.06993006993006994,35.0,46868.74748638698,3.9722222222222223,2.795976605057895,96.16202492448774,65.24073321781509,0.0,254.0,14.0,211.0,23.0,0.0,0.0,12.0,0.0,30,2,kaggle_user1,2021-09-13T12:30:49.308191,real,self_report
20052.342070075203,253772.29320551822,145.61009407043457,3992.418545574399,24164.139767719418,159.6,0.09273182957393483,74.0,20146.38424241865,5.32,3.3116980390619206,124.43132985671949,61.78186603142555,2.0,395.0,23.0,937.0,34.0,0.0,0.0,13.0,0.0,30,2,kaggle_user1,2021-09-13T13:01:26.134198,real,self_report
10568.680147866946,126265.73733246773,133.6454153060913,1354.9704486820974,7201.223356966492,59.2,0.08783783783783784,7.0,23427.13509287153,18.5,2.5387150654151522,84.0523093930905,65.51173219492765,0.0,119.0,3.0,382.0,20.0,0.0,0.0,13.0,0.0,30,0,kaggle_user1,2021-09-13T13:31:44.525100,real,self_report
1067.938306969656,15743.52572092711,148.59986305236816,4129.811124613056,22228.823101746984,142.0,0.0676056338028169,80.0,17295.19073367119,4.382716049382716,3.1925812213283513,130.39699056614364,83.75102746314631,1.0,347.0,25.0,424.0,21.0,0.0,0.0,14.0,0.0,30,2,kaggle_user1,2021-09-13T14:32:09.503601,real,self_report
106.71544075012207,12.964487075805664,106.71544075012207,808.8350296020508,0.0,0.8,0.0,0.0,0.0,2.0,-0.0,57.37736193284778,41.36826917665139,0.0,67.0,2.0,33.0,9.0,0.0,0.0,10.0,1.0,30,0,kaggle_user1,2021-09-14T10:22:31.366183,real,self_report
384.86938296514364,6026.323705921461,127.65789031982422,2062.7771304874886,23853.948014876984,328.4,0.0779537149817296,36.0,41961.922652191584,22.18918918918919,2.413431490777055,66.50174261021412,55.34226426781831,12.0,115.0,0.0,23.0,40.0,0.0,0.0,10.0,1.0,30,0,kaggle_user1,2021-09-14T10:52:57.898408,real,self_report
6716.19581050343,138056.31344991154,127.15959548950195,1458.3332596054997,10532.364678419368,432.0,0.08518518518518518,99.0,13569.756963036278,10.8,2.697114864450653,126.3257975269208,63.8478498874471,1.0,372.0,18.0,501.0,31.0,0.0,0.0,11.0,1.0,30,0,kaggle_user1,2021-09-14T11:33:10.757580,real,self_report
12591.827967204154,172317.56081190263,140.12551307678223,5404.425557454427,18485.691615072028,102.4,0.12109375,81.0,16297.542439566718,3.1219512195121952,3.6897228534943878,158.68038101848725,77.78019170165511,14.0,445.0,26.0,1180.0,41.0,0.0,0.0,12.0,1.0,30,0,kaggle_user1,2021-09-14T12:03:26.145007,real,self_report
94080.84706221212,1081167.1090866665,129.6520233154297,8131.152387415425,36859.19267688744,71.6,0.17318435754189945,49.0,28580.86903241216,3.58,3.7450473428406683,78.29965814212329,51.022113324752326,16.0,159.0,4.0,1228.0,40.0,0.0,0.0,13.0,1.0,30,0,kaggle_user1,2021-09-14T13:06:22.461270,real,self_report
2975.71346259202,46857.74285935792,132.6439380645752,6145.289653539658,31986.045578613324,112.4,0.1423487544483986,60.0,27541.648868719738,4.60655737704918,3.439925504977244,105.88701096056556,56.118169080005096,22.0,210.0,15.0,592.0,49.0,0.0,0.0,14.0,1.0,30,2,kaggle_user1,2021-09-14T14:06:45.013056,real,self_report
41604.26414379707,444377.9718543364,142.12000370025635,3791.470178337984,14634.126768419646,52.0,0.09230769230769231,37.0,12412.095392072522,3.4210526315789473,3.672898402392734,94.61954692792625,60.5891010835433,10.0,177.0,19.0,361.0,30.0,0.0,0.0,14.0,1.0,30,1,kaggle_user1,2021-09-14T14:36:51.961865,real,self_report
7816.641141603022,132718.23343780724,125.16510486602783,5272.518257607617,39183.53833763677,129.6,0.08333333333333333,50.0,32401.368398666382,6.352941176470588,3.3098368993470433,87.38165723075566,65.09207698182401,39.0,164.0,9.0,811.0,43.0,0.0,0.0,16.0,1.0,30,0,kaggle_user1,2021-09-14T16:45:53.393594,real,self_report
3107.925197178732,59352.77552771194,123.66890907287598,2106.2332854854117,14508.937034092014,334.0,0.07904191616766468,85.0,18458.41160662034,9.709302325581396,2.7929658063908684,92.80834288746897,63.31387928356477,12.0,222.0,6.0,960.0,39.0,0.0,0.0,17.0,1.0,30,1,kaggle_user1,2021-09-14T17:16:03.494435,real,self_report
1840.8150001031465,49165.156016492,122.67088890075684,1944.309655825297,14405.175745434319,336.4,0.07491082045184304,56.0,25858.119802815574,14.75438596491228,2.4689031753328896,109.09711955108948,63.327233883322485,6.0,252.0,3.0,946.0,57.0,0.0,0.0,17.0,1.0,30,1,kaggle_user1,2021-09-14T17:46:10.586566,real,self_report
3442.4209950575187,47605.62964876863,133.64195823669434,5267.321924963398,29627.817607822213,134.0,0.04477611940298507,49.0,34418.36923482467,6.7,2.9688029288494335,133.19597541605464,61.133519374556464,1.0,260.0,9.0,1328.0,75.0,0.0,0.0,18.0,1.0,30,2,kaggle_user1,2021-09-14T18:16:29.749698,real,self_report
443.76536330791436,636.9912704196977,161.12303733825684,6779.994295567883,22807.940292547977,39.6,0.010101010101010102,29.0,21769.400481520028,3.3,3.836327571888579,210.25661409328825,69.07893176337126,6.0,212.0,25.0,98.0,39.0,0.0,0.0,9.0,1.0,30,0,kaggle_user2,2021-09-07T09:19:19.193612,real,self_report
352.96774321588975,341.1073469497069,181.14304542541504,29046.857051682055,206933.61228778676,23.2,0.017241379310344827,25.0,65699.95374679565,2.230769230769231,4.456017770914993,239.33646187055996,222.87161204627438,1.0,165.0,2.0,67.0,65.0,0.0,0.0,9.0,1.0,30,1,kaggle_user2,2021-09-07T09:50:42.061682,real,self_report
1942.4635367607002,5854.945088693571,223.6161231994629,14197.52868016561,34712.12252358506,26.8,0.0,36.0,25631.80516825782,1.8108108108108107,3.9636108755926314,268.35842011967185,97.27852251129697,0.0,303.0,27.0,333.0,101.0,0.0,0.0,10.0,1.0,30,1,kaggle_user2,2021-09-07T10:21:17.663853,real,self_report
13786.790894503569,189375.79095445923,128.91101837158203,8003.8704848048665,41542.129401817954,79.6,0.04522613065326633,46.0,33209.56680567368,4.23404255319149,3.45675906003407,238.55662330079164,124.06143530636307,1.0,319.0,19.0,118.0,91.0,0.0,0.0,10.0,1.0,30,1,kaggle_user2,2021-09-07T10:51:48.765706,real,self_report
424.36259088952556,562.5571806306524,176.74899101257324,7010.231454121439,33732.94413632204,61.2,0.1111111111111111,60.0,17057.295155525208,2.5081967213114753,4.2580340759162,222.84398975871176,120.4445396966623,5.0,305.0,16.0,277.0,73.0,0.0,0.0,11.0,1.0,30,1,kaggle_user2,2021-09-07T11:22:11.060236,real,self_report
243.18595560724864,370.5140188570505,119.16136741638184,4866.137561855374,15789.28960365781,133.6,0.12874251497005987,90.0,17145.943262841967,3.67032967032967,3.5835176539167404,260.00737201604545,92.85132644291504,5.0,293.0,7.0,930.0,115.0,0.0,0.0,11.0,1.0,30,1,kaggle_user2,2021-09-07T11:52:39.605662,real,self_report
545.9413566286602,1427.5350343756395,171.86307907104492,28834.74067718752,155904.8939067023,25.2,0.0,31.0,57208.63483798119,1.96875,4.047661460266555,103.90517208100167,82.37452456693276,9.0,84.0,4.0,249.0,66.0,0.0,0.0,12.0,1.0,30,1,kaggle_user2,2021-09-07T12:38:37.398061,real,self_report
467.99906202264737,722.5011367158902,171.6749668121338,18867.224696564346,61067.849608540266,29.6,0.02702702702702703,27.0,50334.260022198716,2.642857142857143,3.5600607893439564,146.86876920715412,98.50482812567725,3.0,88.0,1.0,563.0,101.0,0.0,0.0,13.0,1.0,30,0,kaggle_user2,2021-09-07T13:09:12.773623,real,self_report
7818.9471099550365,94329.85505539915,96.23908996582031,11474.946233431498,74131.8850500478,60.4,0.019867549668874173,30.0,56117.930261294045,4.870967741935484,2.8930501711311543,98.14111381220465,87.76482813136658,107.0,104.0,4.0,333.0,1.0,0.0,0.0,13.0,1.0,30,0,kaggle_user2,2021-09-07T13:39:42.694190,real,self_report
434.76266127366284,2235.4253621658618,118.46804618835449,5209.134671999061,16986.2790637076,83.2,0.04807692307692308,63.0,16358.751781403073,3.25,3.3596413288479248,186.0617586403728,124.71563865821504,15.0,141.0,10.0,145.0,125.0,0.0,0.0,15.0,1.0,30,0,kaggle_user2,2021-09-07T15:10:46.545479,real,self_report
208.68370268079968,248.04215778281414,114.25185203552246,1253.9011606803308,3317.0699303120305,10.8,0.037037037037037035,6.0,4266.163349151611,3.857142857142857,3.173660689688185,89.21167123381753,64.08334584764694,0.0,68.0,3.0,286.0,20.0,0.0,0.0,18.0,1.0,30,0,kaggle_user2,2021-09-07T18:14:56.007004,real,self_report
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.00559410008323,57.293664385858044,0.0,25.0,0.0,33.0,3.0,0.0,0.0,18.0,1.0,30,0,kaggle_user2,2021-09-07T18:45:17.001905,real,self_report
187.3276631037394,211.48848172901907,120.59545516967773,9045.37899740811,37016.436305598814,12.0,0.03333333333333333,8.0,31791.144251823425,3.3333333333333335,3.1173143543437782,131.31684269681432,97.84340819120848,0.0,46.0,0.0,119.0,15.0,0.0,0.0,7.0,2.0,30,0,kaggle_user2,2021-09-08T07:51:01.607957,real,self_report
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37136674759156,47.62357273882386,0.0,33.0,0.0,243.0,29.0,0.0,0.0,8.0,2.0,30,1,kaggle_user2,2021-09-08T08:21:24.384434,real,self_report
180.79200983047485,220.9945428571549,115.7374382019043,5928.8851774039385,21332.323129877448,48.0,0.10833333333333334,44.0,15472.896375439384,2.6666666666666665,4.072859638799928,137.60129484525905,126.56007535679016,6.0,119.0,1.0,132.0,41.0,0.0,0.0,8.0,2.0,30,1,kaggle_user2,2021-09-08T08:51:42.507459,real,self_report
149.91278233735457,244.65008037354903,88.8819694519043,408.40618176893753,329.70068564487354,9.2,0.2608695652173913,2.0,1247.5905418395996,7.666666666666667,2.588465279604108,153.67471409380528,114.35196342992141,0.0,67.0,0.0,600.0,22.0,0.0,0.0,10.0,2.0,30,1,kaggle_user2,2021-09-08T10:04:28.574265,real,self_report
394.7249677251367,631.5094189270718,162.6194715499878,5362.68424723861,24782.212722090768,108.8,0.07720588235294118,106.0,13095.55190689159,2.542056074766355,4.195577719893159,225.59911268343373,132.95407402573963,29.0,261.0,19.0,223.0,78.0,0.0,0.0,10.0,2.0,30,1,kaggle_user2,2021-09-08T10:34:59.270260,real,self_report
2773.887894370339,39752.28062517839,119.14896965026855,5136.67214673663,27031.022155316918,101.2,0.15019762845849802,89.0,13857.805053839524,2.811111111111111,4.2135157747492,136.95863643224254,106.54088780593152,37.0,150.0,18.0,331.0,26.0,0.0,0.0,13.0,2.0,30,1,kaggle_user2,2021-09-08T13:43:25.465245,real,self_report
